host_resource,host_field,candidate_satellite,target_resource,target_field,jaccard,host_token_count,target_token_count,shared_token_count,host_def_first120,target_def_first120
Property,CoListOfficeKey,CoListOfficeName,Office,OfficeName,0.600,5,3,3,The legal name of the brokerage co-representing the seller.,The legal name of the brokerage.
Property,CoListOfficeKey,CoListOfficePhone,Office,OfficePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListOfficeKey,CoListOfficePhoneExt,Office,OfficePhoneExt,1.000,5,5,5,"The extension of the given phone number, if applicable.",The extension of the given phone number (if applicable).
Property,ListAgentKey,ListAgentAOR,Member,MemberAOR,0.750,3,4,3,The listing agent's board or association of REALTORS®.,The member's primary board or association of REALTORS®.
Property,ListAgentKey,ListAgentDesignation,Member,MemberDesignation,0.952,21,20,20,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by the,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by the
Property,ListAgentKey,ListAgentDirectPhone,Member,MemberDirectPhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentEmail,Member,MemberEmail,1.000,2,2,2,The email address of the listing agent.,The email address of the member.
Property,ListAgentKey,ListAgentFax,Member,MemberFax,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentFirstName,Member,MemberFirstName,1.000,2,2,2,The first name of the listing agent.,The first name of the member.
Property,ListAgentKey,ListAgentFullName,Member,MemberFullName,0.667,4,6,4,"The first, middle and last name of the listing agent.","The first, middle and last name of the member or an alternate full name."
Property,ListAgentKey,ListAgentHomePhone,Member,MemberHomePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentLastName,Member,MemberLastName,1.000,2,2,2,The last name of the listing agent.,The last name of the member.
Property,ListAgentKey,ListAgentMiddleName,Member,MemberMiddleName,1.000,2,2,2,The middle name of the listing agent.,The middle name of the member.
Property,ListAgentKey,ListAgentMlsId,Member,MemberMlsId,1.000,12,12,12,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation s","The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation s"
Property,ListAgentKey,ListAgentMobilePhone,Member,MemberMobilePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentNamePrefix,Member,MemberNamePrefix,1.000,6,6,6,"The prefix to the name (e.g., Dr., Mr., Ms.).","The prefix to the member name (e.g., Dr., Mr., Ms.)."
Property,ListAgentKey,ListAgentNameSuffix,Member,MemberNameSuffix,0.714,6,6,5,"The suffix to the name (e.g., Esq., Jr., III).","The suffix to the member surname (e.g., Esq., Jr., III)."
Property,ListAgentKey,ListAgentOfficePhone,Member,MemberOfficePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentOfficePhoneExt,Member,MemberOfficePhoneExt,1.000,5,5,5,The extension of the given phone number (if applicable).,"The extension of the given phone number, if applicable."
Property,ListAgentKey,ListAgentPager,Member,MemberPager,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentPreferredPhone,Member,MemberPreferredPhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentPreferredPhoneExt,Member,MemberPreferredPhoneExt,1.000,5,5,5,The extension of the given phone number (if applicable).,"The extension of the given phone number, if applicable."
Property,ListAgentKey,ListAgentStateLicense,Member,MemberStateLicense,0.714,6,6,5,The license of the listing agent. Separate multiple licenses with a comma and space.,The license of the member. Multiple licenses should be separated by a comma and space.
Property,ListAgentKey,ListAgentTollFreePhone,Member,MemberTollFreePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentVoiceMail,Member,MemberVoiceMail,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,ListAgentKey,ListAgentVoiceMailExt,Member,MemberVoiceMailExt,1.000,5,5,5,"The extension of the given phone number, if applicable.","The extension of the given phone number, if applicable."
Property,ListOfficeKey,ListOfficeAOR,Office,OfficeAOR,1.000,3,3,3,The listing office's board or association of REALTORS®.,The office's board or association of REALTORS®.
Property,ListOfficeKey,ListOfficeEmail,Office,OfficeEmail,1.000,2,2,2,The email address of the listing office.,The email address of the office
Property,ListOfficeKey,ListOfficeFax,Office,OfficeFax,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
