host_resource,host_field,fk_stem,candidate_satellite,candidate_simple_type,target_resource,target_field,name_match_score,name_match_kind,jaccard,type_match,lookup_match,signals_fired,recommendation,notes
Property,CoListAgentKey,CoListAgent,CoListAgentPreferredPhone,String,Member,MemberPreferredPhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentPreferredPhoneExt,String,Member,MemberPreferredPhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentStateLicense,String,Member,MemberStateLicense,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentTollFreePhone,String,Member,MemberTollFreePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentURL,String,Member,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Property,CoListAgentKey,CoListAgent,CoListAgentVoiceMail,String,Member,MemberVoiceMail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentVoiceMailExt,String,Member,MemberVoiceMailExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListOfficeKey,CoListOffice,CoListOfficeAOR,"String List, Single",Office,OfficeAOR,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListOfficeKey,CoListOffice,CoListOfficeEmail,String,Office,OfficeEmail,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListOfficeKey,CoListOffice,CoListOfficeFax,String,Office,OfficeFax,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListOfficeKey,CoListOffice,CoListOfficeMlsId,String,Office,OfficeMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
Property,CoListOfficeKey,CoListOffice,CoListOfficeName,String,Office,OfficeName,1.00,target_prefix,0.600,1.0,1,A|B|C|D,drop_from_host,
Property,CoListOfficeKey,CoListOffice,CoListOfficePhone,String,Office,OfficePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListOfficeKey,CoListOffice,CoListOfficePhoneExt,String,Office,OfficePhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListOfficeKey,CoListOffice,CoListOfficeURL,String,Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Property,ListAgentKey,ListAgent,ListAgentAOR,"String List, Single",Member,MemberAOR,1.00,target_prefix,0.750,1.0,1,A|B|C|D,drop_from_host,
Property,ListAgentKey,ListAgent,ListAgentDesignation,"String List, Multi",Member,MemberDesignation,1.00,target_prefix,0.952,0.5,0,A|B|C|D,drop_from_host,
